,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,No_tags
22536,7082866,52386,1995,3795,False,False,27
22537,596552,47491,2596,3455,False,False,10
22538,1121283,95947,2509,6778,False,False,9
22539,928275,1573,766,639,False,False,15
22540,665961,968,709,360,False,False,21
22541,963703,27942,1959,1542,False,False,13
22542,1221108,0,0,190,False,True,33
22543,314344,2007,450,261,False,False,31
22544,497955,33044,706,2590,False,False,17
22545,45064699,1494997,29812,186005,False,False,16
22546,489457,1452,346,342,False,False,13
22547,464916,1220,920,370,False,False,1
22548,2282572,16438,4974,2984,False,False,1
22549,301020,1018,189,197,False,False,9
22550,1152887,18857,737,1509,False,False,25
22551,10740130,316722,33528,33931,False,False,25
22552,1690964,57873,1308,2771,False,False,17
22553,841815,3912,1136,296,False,False,13
22554,178458,1392,708,388,False,False,29
22555,581766,38690,667,6051,False,False,30
22556,354497,36816,4043,2636,False,False,28
22557,395665,1010,317,185,False,False,14
22558,643823,3538,1671,684,False,False,12
22559,192872,0,0,61,False,True,10
22560,469374,4412,453,852,False,False,23
22561,411957,2420,364,1421,False,False,5
22562,809650,13590,223,332,False,False,17
22563,1162177,4942,894,449,False,False,24
22564,1970790,82885,12688,5960,False,False,19
22565,1183316,10139,2096,594,False,False,16
22566,162761,2483,165,269,False,False,17
22567,2625247,24301,2712,1306,False,False,37
22568,378358,0,0,1554,False,True,19
22569,213869,6109,261,451,False,False,35
22570,131869,432,32,15,False,False,10
22571,490468,49193,1563,7323,False,False,25
22572,220157,399,39,31,False,False,10
22573,943066,4711,1252,617,False,False,23
22574,4033668,10725,3467,2008,False,False,29
22575,282485,1074,227,51,False,False,20
22576,1579534,11081,919,2067,False,False,26
22577,625377,3929,413,0,True,False,8
22578,610483,4486,265,261,False,False,8
22579,271354,5323,646,1197,False,False,11
22580,555725,65866,1436,8283,False,False,11
22581,116201,998,64,44,False,False,33
22582,356762,4051,302,116,False,False,9
22583,155201,825,136,139,False,False,5
22584,645428,2041,431,81,False,False,10
22585,388536,3496,407,1888,False,False,14
22586,223743,5669,201,401,False,False,20
22587,319472,635,210,64,False,False,39
22588,448918,6468,656,563,False,False,11
22589,246343,11489,347,1025,False,False,23
22590,156402,315,161,22,False,False,20
22591,422278,1038,157,54,False,False,10
22592,166883,386,63,26,False,False,6
22593,290454,1286,243,171,False,False,12
22594,315933,2619,561,499,False,False,18
22595,170315,589,46,34,False,False,27
22596,58137,3277,62,279,False,False,1
22597,1462236,8182,1548,1186,False,False,39
22598,253556,1470,173,260,False,False,33
22599,1138590,19308,915,711,False,False,16
22600,406231,2110,113,145,False,False,17
22601,72431,1827,59,127,False,False,14
22602,218424,963,128,29,False,False,19
22603,265526,531,72,36,False,False,10
22604,46858,142,84,25,False,False,32
22605,604814,1774,249,141,False,False,11
22606,612188,3174,505,501,False,False,14
22607,181195,18633,757,1419,False,False,23
22608,91430,333,18,77,False,False,10
22609,432780,29035,1000,2069,False,False,23
22610,951050,7906,647,441,False,False,21
22611,116510,687,66,43,False,False,11
22612,1494963,60901,3148,3683,False,False,55
22613,84546,392,153,195,False,False,20
22614,849347,1535,508,80,False,False,14
22615,297279,866,167,275,False,False,9
22616,252214,635,161,183,False,False,21
22617,416597,1496,561,201,False,False,5
22618,124933,6280,276,301,False,False,26
22619,585175,2193,603,82,False,False,25
22620,292543,964,1048,448,False,False,17
22621,36742,985,33,0,True,False,2
22622,69275,285,44,15,False,False,22
22623,497849,2954,234,231,False,False,22
22624,51635,5264,73,308,False,False,29
22625,238046,1427,143,149,False,False,19
22626,79603,822,36,10,False,False,17
22627,45546,1671,1930,521,False,False,6
22628,123270,178,104,16,False,False,14
22629,62844,401,22,61,False,False,22
22630,612752,6767,163,445,False,False,11
